"","Date","remarks","Si","site.name"
"1",1982-02-11,NA,2.3367136,"ALBION"
"2",1982-04-08,NA,0.981419712,"ALBION"
"3",1982-04-22,NA,1.495496704,"ALBION"
"4",1982-05-06,NA,1.51886384,"ALBION"
"5",1982-05-20,NA,1.542230976,"ALBION"
"6",1982-05-27,NA,1.86937088,"ALBION"
"7",1982-06-03,NA,1.588965248,"ALBION"
"8",1982-06-08,NA,1.542230976,"ALBION"
"9",1982-06-16,NA,1.495496704,"ALBION"
"10",1982-06-24,NA,1.0889029205,"ALBION"
"11",1982-07-01,NA,0.981419712,"ALBION"
"12",1982-07-08,NA,1.046858927,"ALBION"
"13",1982-07-15,NA,0.7571008235,"ALBION"
"14",1982-07-29,NA,0.560811264,"ALBION"
"15",1982-08-12,NA,0.560811264,"ALBION"
"16",1982-08-26,NA,0.5841784,"ALBION"
"17",1982-09-17,NA,0.654279808,"ALBION"
"18",1982-10-01,NA,0.747748352,"ALBION"
"19",1982-10-15,NA,0.93468544,"ALBION"
"20",1982-11-19,NA,1.028153984,"ALBION"
"21",1982-12-16,NA,1.1683568,"ALBION"
"22",1984-05-23,NA,1.430057489,"ALBION"
"23",1984-05-31,NA,1.1122700565,"ALBION"
"24",1984-06-07,NA,1.448762432,"ALBION"
"25",1984-06-14,NA,1.359956081,"ALBION"
"26",1984-06-21,NA,1.233796015,"ALBION"
"27",1984-06-28,NA,0.9019658325,"ALBION"
"28",1984-07-05,NA,0.9440379115,"ALBION"
"29",1984-07-12,NA,0.7851301525,"ALBION"
"30",1984-07-19,NA,0.35050704,"ALBION"
"31",1984-07-26,NA,0.252376303,"ALBION"
"32",1984-08-02,NA,0.303772768,"ALBION"
"33",1984-08-09,NA,0.2243188885,"ALBION"
"34",1984-08-17,NA,0.3832266475,"ALBION"
"35",1984-08-23,NA,0.509414799,"ALBION"
"36",1984-08-30,NA,1.215091072,"ALBION"
"37",1984-09-07,NA,1.3693085525,"ALBION"
"38",1984-09-14,NA,0.775777681,"ALBION"
"39",1984-09-21,NA,1.261825344,"ALBION"
"40",1984-09-28,NA,1.215091072,"ALBION"
"41",1984-10-05,NA,0.752410545,"ALBION"
"42",1984-11-09,NA,0.887951168,"ALBION"
"43",1984-11-30,NA,0.911318304,"ALBION"
"44",1984-12-31,NA,0.654279808,"ALBION"
"45",1985-01-15,NA,0.607545536,"ALBION"
"46",1985-01-31,NA,0.607545536,"ALBION"
"47",1985-02-28,NA,1.121622528,"ALBION"
"48",1985-03-28,NA,1.215091072,"ALBION"
"49",1985-04-25,NA,1.121622528,"ALBION"
"50",1985-05-09,NA,0.420608448,"ALBION"
"51",1985-05-16,NA,0.794482624,"ALBION"
"52",1985-05-23,NA,1.7665498645,"ALBION"
"53",1985-05-30,NA,1.51886384,"ALBION"
"54",1985-06-06,NA,0.771115488,"ALBION"
"55",1985-06-13,NA,0.415946255,"ALBION"
"56",1985-06-20,NA,0.397241312,"ALBION"
"57",1985-06-27,NA,0.472004913,"ALBION"
"58",1985-07-02,NA,0.280405632,"ALBION"
"59",1985-07-04,NA,0.2944202965,"ALBION"
"60",1985-07-08,NA,0.514076992,"ALBION"
"61",1985-07-11,NA,0.439313391,"ALBION"
